name;master;sign;tel_punto_vendita;indirizzo;ac;ea;ea7;aj;aju;casa;ga;fiori;dolci;occhiali;orologi_gioielli;cosmetics;libri;tipo_store_macro;tipo_store;nazione_iso_3166;localita;tipo_rapporto;data_apertura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI KUWAIT CITY;00352F;ARMANI;;AVENUES MALL, UNIT E44, E46, E48;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;UNITED ARAB EMIRATES;KUWAIT CITY;RETAILER;20130313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI NEW YORK;5855FD;ARMANI;1 212 209 3500;717 FIFTH AVENUE;0;1;1;1;0;0;1;0;0;0;0;0;0;FREE STANDING;MONOBRAND;UNITED STATES;NEW YORK;PROPRIETA';20090217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI ISTANBUL;B6TX0F;ARMANI;;ABDI IPEKCI CAD. NO:41;0;1;1;1;1;0;1;0;0;0;0;0;0;FREE STANDING;MONOBRAND;TURKEY;ISTANBUL;RETAILER;20140401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI ACCESSORI DIFFUSION PARIS;9O642G;ARMANI ACCESSORI DIFFUSION;;TO BE CONFIRMED;0;0;0;0;0;0;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;FRANCE;PARIS;PROPRIETA';20130301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI BAR HONG KONG;9L1501;ARMANI BAR;;CHATER HOUSE, 11 CHATER ROAD, CENTRAL;0;0;0;0;0;0;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;HONG KONG;HONG KONG;RETAILER;20051130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CAFFE' CANNES;BGSI01;ARMANI CAFFE';0033 04 93994405;LA CROISETTE 42/43 BD;0;1;0;0;0;0;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;FRANCE;CANNES;RETAILER;20130315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA MILANO;000425;ARMANI CASA;0039 02 76260230;VIA SANT'ANDREA 9;0;0;0;1;0;1;1;0;0;0;0;0;0;FREE STANDING;MONOBRAND;ITALY;MILANO;PROPRIETA';20001004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA TOKYO;00228H;ARMANI CASA;+81-3-6274-7003;4F, ARMANI/GINZA TOWER, 5-5-4 GINZA, CHUO-KU;0;0;0;0;0;1;1;0;0;0;0;0;0;FREE STANDING;MONOBRAND;JAPAN;TOKYO;PROPRIETA';20071108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA RIYADH;011113;ARMANI CASA;+966 11 4657 948;OLAYA STREET;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;SAUDI ARABIA;RIYADH;RETAILER;20020929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA JEDDAH;011125;ARMANI CASA;+966 2 6610 430;KHAYYAT CENTER - TALHIA STREET;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;SAUDI ARABIA;JEDDAH;RETAILER;20031014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA MOSCOW;116503;ARMANI CASA;+7 495 9333 378;TRETIYAKOVSKIY PROEZD, 2;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;RUSSIAN FEDERATION;MOSCOW;RETAILER;20021226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA BARVIKHA;11651B;ARMANI CASA;+7 495 225 8892;BARVIKHA LUXURY VILLAGE, 8TH KM OF RUBLYOVO-USPENSKOYE SHOSSE;0;0;0;0;0;0;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;RUSSIAN FEDERATION;BARVIKHA;RETAILER;20080628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA ATHENS;366601;ARMANI CASA;+30 210 80 82 115;188 KIFISSIAS AV. - HALANDRI;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;GREECE;ATHENS;RETAILER;20010801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA WIEN;374905;ARMANI CASA;0043.1.535.2470;KOHLMARKT, 3;0;0;0;0;0;0;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;AUSTRIA;WIEN;RETAILER;20050910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA MUENCHEN;424402;ARMANI CASA;+49 89 5505 2866;THEATINERSTRASSE 12;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;GERMANY;MUENCHEN;RETAILER;20031204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA TAIPEI;527702;ARMANI CASA;+886 2 2719 9100;CHING SHANG MANSION, 1F NO 2-1 LANE 269 SEC. 3 NAN-KING EASTROAD;0;0;0;0;0;1;0;0;0;0;0;0;0;SHOP IN SHOP;MONOBRAND;TAIWAN;TAIPEI;RETAILER;20070929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA NEW YORK;5855B6;ARMANI CASA;+1 212 3341 271;D&D BUILDING, 979 THIRD AVENUE, SUITE 1424;0;0;0;0;0;1;1;0;0;0;0;0;0;FREE STANDING;MONOBRAND;UNITED STATES;NEW YORK;PROPRIETA';20010829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA WEST HOLLYWOOD;5855B7;ARMANI CASA;+ 1 310 358 0901;PACIFIC DESIGN CENTER 8687 MELROSE AVENUE, SUITE G170;0;0;0;0;0;1;1;0;0;0;0;0;0;FREE STANDING;MONOBRAND;UNITED STATES;WEST HOLLYWOOD;PROPRIETA';20011116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMANI CASA KUWAIT CITY;9HI601;ARMANI CASA;+965 2225 5477;AL-TILAL COMM. CENTER STORE G44 PEPSICOLA STR.;0;0;0;0;0;1;0;0;0;0;0;0;0;FREE STANDING;MONOBRAND;KUWAIT;KUWAIT CITY;RETAILER;20080316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
